               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,             0.03115,            0.065314,           0.0070695,             0.94395,             0.94881,             0.96614,             0.82576,            0.021908,            0.079683,           0.0051996,           0.0098911,           0.0098911,           0.0098911
                 112,            0.030852,             0.06675,           0.0072654,             0.95412,             0.93702,             0.97781,             0.83093,            0.021936,            0.075868,            0.005116,           0.0098901,           0.0098901,           0.0098901
                 113,            0.031291,            0.064366,           0.0072025,             0.95167,              0.9508,              0.9728,              0.8227,            0.021669,             0.07648,           0.0052585,           0.0098891,           0.0098891,           0.0098891
                 114,            0.030292,            0.065157,           0.0069054,             0.94745,              0.9519,             0.96936,             0.82563,            0.022006,              0.0807,           0.0053654,           0.0098881,           0.0098881,           0.0098881
                 115,            0.030704,            0.065038,            0.007101,             0.94154,             0.92975,             0.96795,             0.82575,            0.022293,            0.080604,           0.0051949,           0.0098871,           0.0098871,           0.0098871
                 116,            0.030608,            0.066008,           0.0068976,             0.95287,             0.96063,              0.9788,             0.84168,            0.021257,            0.076242,           0.0044424,           0.0098861,           0.0098861,           0.0098861
                 117,            0.030469,            0.065778,           0.0068938,              0.9719,             0.95323,             0.97263,               0.824,            0.022073,            0.078629,           0.0046892,           0.0098852,           0.0098852,           0.0098852
                 118,            0.030513,            0.066038,            0.007064,             0.96187,             0.93081,             0.97052,             0.82199,            0.021777,            0.079824,            0.004447,           0.0098842,           0.0098842,           0.0098842
                 119,            0.030546,            0.066296,           0.0070445,             0.96891,             0.93611,             0.97338,               0.829,            0.021807,            0.079102,           0.0045571,           0.0098832,           0.0098832,           0.0098832
                 120,            0.030869,            0.065684,           0.0070961,             0.94399,             0.94488,             0.96345,             0.80808,            0.022184,             0.07846,           0.0057412,           0.0098822,           0.0098822,           0.0098822
                 121,            0.030302,            0.065171,           0.0070014,             0.93961,             0.95786,             0.96916,             0.82735,            0.021846,            0.078796,              0.0046,           0.0098812,           0.0098812,           0.0098812
                 122,            0.030528,            0.064782,           0.0068938,              0.9504,             0.95817,             0.97331,             0.82691,             0.02168,            0.077076,           0.0048612,           0.0098802,           0.0098802,           0.0098802
                 123,            0.030569,            0.065703,           0.0068368,             0.95239,             0.95781,             0.96797,             0.81179,            0.021955,            0.079266,           0.0047175,           0.0098792,           0.0098792,           0.0098792
                 124,            0.030224,            0.065173,           0.0068005,             0.93869,             0.94212,             0.96677,             0.81708,            0.022026,            0.083071,           0.0053987,           0.0098782,           0.0098782,           0.0098782
                 125,            0.029826,            0.063544,           0.0068353,             0.95338,             0.95942,             0.97537,             0.82446,            0.021763,            0.079695,           0.0042353,           0.0098772,           0.0098772,           0.0098772
                 126,            0.029612,             0.06296,             0.00673,             0.95853,             0.95531,             0.97528,              0.8385,            0.021439,            0.077659,           0.0045287,           0.0098763,           0.0098763,           0.0098763
                 127,            0.030524,            0.065014,            0.006986,             0.95638,             0.94126,             0.96851,             0.83475,            0.021645,            0.078023,           0.0046155,           0.0098753,           0.0098753,           0.0098753
                 128,            0.030072,             0.06527,           0.0069206,             0.96233,             0.95476,             0.97226,             0.83015,            0.021554,            0.077608,           0.0047602,           0.0098743,           0.0098743,           0.0098743
                 129,            0.030179,            0.063897,           0.0068956,             0.96322,             0.94991,             0.97225,              0.8365,            0.021375,            0.075809,           0.0052786,           0.0098733,           0.0098733,           0.0098733
                 130,            0.029797,            0.063742,           0.0067017,             0.96144,             0.96135,             0.97943,              0.8413,            0.021212,            0.076734,           0.0042796,           0.0098723,           0.0098723,           0.0098723
                 131,            0.029488,             0.06325,           0.0067182,              0.9548,             0.96238,             0.97842,             0.84656,            0.021249,            0.077529,            0.004222,           0.0098713,           0.0098713,           0.0098713
                 132,            0.030533,            0.063715,           0.0067634,             0.97753,             0.95929,             0.97793,             0.83105,             0.02153,            0.075866,           0.0041487,           0.0098703,           0.0098703,           0.0098703
                 133,             0.03057,            0.064818,           0.0067031,             0.94501,             0.95471,             0.97349,             0.83484,            0.021563,            0.076339,           0.0049806,           0.0098693,           0.0098693,           0.0098693
                 134,                0.03,            0.063862,           0.0069756,             0.95532,             0.95204,             0.97309,             0.83707,            0.021472,            0.076661,           0.0045678,           0.0098683,           0.0098683,           0.0098683
                 135,            0.031004,            0.065737,           0.0068093,             0.97552,              0.9563,             0.97159,             0.82582,            0.021441,             0.07857,           0.0045827,           0.0098673,           0.0098673,           0.0098673
                 136,            0.030335,            0.064478,           0.0066203,             0.96779,             0.95586,             0.97296,             0.83025,            0.021064,            0.076191,           0.0042156,           0.0098664,           0.0098664,           0.0098664
                 137,            0.030089,             0.06309,           0.0065327,             0.95222,             0.95411,             0.97176,              0.8313,            0.021229,            0.078746,            0.004172,           0.0098654,           0.0098654,           0.0098654
                 138,            0.030428,            0.063721,           0.0067807,             0.97083,             0.95375,               0.976,             0.83786,            0.021261,            0.073928,           0.0040868,           0.0098644,           0.0098644,           0.0098644
                 139,            0.029278,             0.06214,           0.0064886,             0.96901,             0.95236,             0.98104,             0.84031,            0.021076,            0.074074,           0.0041226,           0.0098634,           0.0098634,           0.0098634
                 140,             0.02974,            0.064296,           0.0065357,             0.96818,             0.95705,              0.9793,             0.84549,            0.021242,            0.074643,           0.0045333,           0.0098624,           0.0098624,           0.0098624
